experiment	commit	metric	status	description
0	8435f87	0.000000000	baseline	fixed prompt ID 1 after equal probe actions
1	cfe6e77	1.000000000	keep_development	best prompt identification accuracy; 72/72 cases
2	1a74fed	287.390953545	keep_development	mean terminal gain using calibrated best on identical target schedules; 48/24/0
3	741c915	1.000000000	boundary	tied best and one-informative-plus-one-zero retain safe known prompt evidence
4	2351087	24.486711710	cost_evidence	single calibrated minus double calibrated mean terminal score; 72/0/0, selection unchanged
5	07ac5f9	206.669429591	keep_development	252 full-cost P11 vs unchanged P9; 10-topology mean; base prompt1-best mean -56.511759
6	50e41b1	39.3036	reject_screen	high-influence ID probe vs low P11; 36 pairs; minimum -22.4697 fails -10 gate
7	2b94e59	4.750208	keep_screen	unknown-node prior times 0.9 vs low P11; 36 pairs; not qualified
8	86a8e74	34.2151	keep_screen	low ID probe plus selected-prompt response anchor vs low P11; 36 pairs; not qualified
9	25f949a	-12.694049	reject_expanded	prior discount aborted at pair 43/252 on the preregistered -10 floor; metric is the rejecting pair, not a cohort mean
10	f535d48	-47.081441	reject_expanded	response anchor aborted at pair 187/252 on the preregistered -10 floor; metric is the rejecting pair, not a cohort mean
11	07ac5f9	211.863855346	keep_confirmation	360 fresh cases; core 288 mean and 12-block interval passed; prompt1-best mean -14.840817
12	5c60537	1	qualified_release	P11 ZIP 5568d38f70974bcc9b3f6d78eb36dd23b81774801dc597cffa81b3bf9c8ec739; actual Python3.9/modern execution and metadata-only byte proof passed; official score pending
